it,alpha_cvar,alpha_pow,ent_cvar,ent_pow,pstd_a_steer,pstd_a_thr,qspread_a,pstd_b_steer,pstd_b_thr,qspread_b,v_cap,k_slip,mu_min,mu_max,r_a,r_b,term,off_a,off_b,crash_a,crash_b,flip_a,flip_b,spun_a,spun_b,obs_a,obs_b
822200,0.5379,0.5379,-6.9129,-6.8661,0.0150,0.0181,0.7321,0.0118,0.0138,0.8559,10.00,0.200,0.690,0.800,0.0452,0.0574,0.0107,0.00366,0.00317,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00195,0.00195
822400,0.5379,0.5379,-6.9129,-6.8661,0.0150,0.0137,0.8198,0.0123,0.0120,0.6913,10.00,0.200,0.690,0.800,0.0485,0.0642,0.0093,0.00317,0.00244,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00195,0.00171
822600,0.5379,0.5379,-7.0782,-6.8179,0.0142,0.0140,0.9483,0.0114,0.0067,0.9509,10.00,0.200,0.690,0.800,0.0580,0.0338,0.0112,0.00293,0.00391,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00073,0.00366
822800,0.5379,0.5379,-7.0782,-6.8179,0.0155,0.0135,0.8302,0.0194,0.0178,0.5769,10.00,0.200,0.690,0.800,0.0418,0.0567,0.0107,0.00317,0.00269,0.00024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00195,0.00293
823000,0.5379,0.5379,-7.0782,-6.8179,0.0196,0.0063,0.6216,0.0176,0.0151,0.8125,10.00,0.200,0.690,0.800,0.0489,0.0495,0.0095,0.00195,0.00317,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00220,0.00220
823200,0.5379,0.5379,-7.0366,-6.8220,0.0131,0.0147,0.8229,0.0131,0.0132,0.6521,10.00,0.200,0.690,0.800,0.0392,0.0536,0.0112,0.00317,0.00415,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00195,0.00195
823400,0.5379,0.5379,-7.0366,-6.8220,0.0116,0.0170,0.8444,0.0190,0.0108,0.6362,10.00,0.200,0.690,0.800,0.0512,0.0257,0.0122,0.00317,0.00415,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00171,0.00317
823600,0.5379,0.5379,-7.0577,-6.8074,0.0119,0.0135,0.7531,0.0151,0.0110,0.8164,10.00,0.200,0.690,0.800,0.0559,0.0396,0.0103,0.00171,0.00391,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00171,0.00293
823800,0.5379,0.5379,-7.0577,-6.8074,0.0173,0.0102,0.8619,0.0131,0.0152,0.7296,10.00,0.200,0.690,0.800,0.0498,0.0503,0.0105,0.00293,0.00513,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00122,0.00122
824000,0.5379,0.5379,-7.0577,-6.8074,0.0134,0.0160,0.8361,0.0163,0.0181,0.7591,10.00,0.200,0.690,0.800,0.0535,0.0436,0.0105,0.00342,0.00293,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00098,0.00317
824200,0.5379,0.5379,-7.1758,-6.8686,0.0153,0.0053,0.7989,0.0115,0.0117,0.7947,10.00,0.200,0.690,0.800,0.0672,0.0561,0.0066,0.00122,0.00244,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00049,0.00244
824400,0.5379,0.5379,-7.1758,-6.8686,0.0116,0.0099,0.8477,0.0096,0.0149,0.7159,10.00,0.200,0.690,0.800,0.0476,0.0671,0.0076,0.00293,0.00269,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00146,0.00049
824600,0.5379,0.5379,-7.1760,-6.6710,0.0122,0.0111,0.7481,0.0114,0.0126,0.8124,10.00,0.200,0.690,0.800,0.0528,0.0313,0.0132,0.00269,0.00366,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00244,0.00439
824800,0.5379,0.5379,-7.1760,-6.6710,0.0131,0.0134,0.8827,0.0142,0.0199,0.8461,10.00,0.200,0.690,0.800,0.0513,0.0575,0.0093,0.00293,0.00293,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00146,0.00195
825000,0.5379,0.5379,-7.1760,-6.6710,0.0176,0.0087,0.7775,0.0166,0.0172,0.7173,10.00,0.200,0.690,0.800,0.0615,0.0476,0.0085,0.00195,0.00293,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00146,0.00220
825200,0.5379,0.5379,-7.1407,-6.7463,0.0105,0.0146,0.8685,0.0129,0.0162,0.8657,10.00,0.200,0.690,0.800,0.0590,0.0576,0.0095,0.00244,0.00317,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00195,0.00195
825400,0.5379,0.5379,-7.1407,-6.7463,0.0178,0.0188,0.9057,0.0221,0.0164,0.6952,10.00,0.200,0.690,0.800,0.0551,0.0453,0.0105,0.00317,0.00415,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00098,0.00220
825600,0.5379,0.5379,-7.2284,-6.9372,0.0123,0.0118,0.8980,0.0148,0.0242,0.8490,10.00,0.200,0.690,0.800,0.0529,0.0488,0.0103,0.00269,0.00293,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00195,0.00293
825800,0.5379,0.5379,-7.2284,-6.9372,0.0191,0.0127,0.7504,0.0082,0.0136,0.9846,10.00,0.200,0.690,0.800,0.0577,0.0452,0.0100,0.00220,0.00342,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00122,0.00317
826000,0.5379,0.5379,-7.2284,-6.9372,0.0174,0.0125,0.7440,0.0175,0.0154,0.7007,10.00,0.200,0.690,0.800,0.0486,0.0123,0.0134,0.00366,0.00537,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00171,0.00293
826200,0.5379,0.5379,-7.0563,-6.8842,0.0113,0.0074,0.7774,0.0166,0.0137,0.7902,10.00,0.200,0.690,0.800,0.0522,0.0462,0.0100,0.00293,0.00391,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00146,0.00171
826400,0.5379,0.5379,-7.0563,-6.8842,0.0111,0.0180,0.8192,0.0170,0.0297,0.7579,10.00,0.200,0.690,0.800,0.0359,0.0496,0.0132,0.00537,0.00366,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00195,0.00220
826600,0.5379,0.5379,-7.0620,-6.8518,0.0122,0.0217,0.7697,0.0255,0.0115,0.6394,10.00,0.200,0.690,0.800,0.0539,0.0582,0.0081,0.00220,0.00269,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00146,0.00171
826800,0.5379,0.5379,-7.0620,-6.8518,0.0082,0.0161,0.8760,0.0147,0.0252,0.8946,10.00,0.200,0.690,0.800,0.0547,0.0570,0.0083,0.00171,0.00415,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00171,0.00073
827000,0.5379,0.5379,-7.0620,-6.8518,0.0167,0.0112,0.9380,0.0139,0.0172,0.8392,10.00,0.200,0.690,0.800,0.0538,0.0703,0.0071,0.00244,0.00195,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00146,0.00122
827200,0.5379,0.5379,-6.9446,-6.9091,0.0151,0.0132,0.8082,0.0139,0.0222,0.7545,10.00,0.200,0.690,0.800,0.0491,0.0594,0.0085,0.00195,0.00195,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00220,0.00244
827400,0.5379,0.5379,-6.9446,-6.9091,0.0170,0.0110,0.8010,0.0173,0.0180,0.6659,10.00,0.200,0.690,0.800,0.0392,0.0411,0.0100,0.00342,0.00391,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00098,0.00171
827600,0.5379,0.5379,-7.1011,-6.9500,0.0119,0.0151,0.7845,0.0129,0.0131,0.8841,10.00,0.200,0.690,0.800,0.0517,0.0429,0.0107,0.00269,0.00488,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00098,0.00220
827800,0.5379,0.5379,-7.1011,-6.9500,0.0159,0.0163,0.7626,0.0172,0.0124,0.6279,10.00,0.200,0.690,0.800,0.0515,0.0575,0.0100,0.00415,0.00415,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00098,0.00073
